,alternate names,population,province,city,cost,latitude_city,longitude_city,distance
0,"'s Bosch,'s-Hertogenbosch,Bois-le-Duc,Bolduque,Boscoducale,De Bosk,Den Bosch,Hertogenbosch,Herzogenbusch,Khertogenbos,Oeteldonk,Silva Ducis,Хертогенбос,’s-Hertogenbosch",134520.0,Noord-Brabant,'s-Hertogenbosch,886.86,51.69917,5.30417,61.66496128935224
1,"Alkmaar,Alkmaer,Alkmar,Alkmaras,a er ke ma er,alkeumaleu,alkmar,arukumaru,Άλκμααρ,Алкмаар,Алкмар,Ալկմար,אלקמאר,آلکمار,ألكمار,ئەڵکمار,アルクマール,阿尔克马尔,알크마르",94853.0,Noord-Holland,Alkmaar,1007.39,52.63167,4.74861,82.71611594855864
2,Almere,176432.0,Flevoland,Almere,845.15,52.37025,5.21413,72.18533381577069
3,"Amersfoort,Amersfort,Amersforto,QYM,Амерсфорт",139914.0,Utrecht,Amersfoort,966.99,52.155,5.3875,68.37251263228025
4,"Amstelveen,Amstelven,Amstelveyn,Amstelvin,Nieuwer Amstel,a mu si te er fen,amseutelbein,amusuterufen,Амстелвен,Амстелвин,Ամստելվեյն,אמסטלפיין,آمستل‌فین,アムステルフェーン,阿姆斯特尔芬,암스텔베인",79639.0,Noord-Holland,Amstelveen,913.83,52.30083,4.86389,51.27729862139948
5,Amsterdam-Duivendrecht,4720.0,Noord-Holland,Amsterdam,926.73,52.32941,4.93964,56.74636688190809
6,"Apeldoarn,Apeldoorn,Apeldoorne,Apeldorn,Apeldornas,QYP,a po er duo lun,abldwrn,apeldoleun,aperudorun,apldwrn,epeladorna,xa phel dorn,Апелдорн,Ապելդորն,آبلدورن,آپلدورن,ایپلڈوم,एपेलडॉर्न,อาเพลโดร์น,აპელდორნი,アペルドールン,阿珀尔多伦,아펠도른",136670.0,Gelderland,Apeldoorn,826.56,52.21,5.96944,107.7179277923149
7,"Arecanum,Arnem,Arnema,Arnheim,Arnhem,Arnhemas,Arnhemia,Arnhim,Arném,Gemeen Arnem,ZYM,a na mu,aleunheom,anemu,arnahema,arnemi,arnhm,arnm,Άρνεμ,Арнем,Արնհեմ,ארנהם,آرنم,آرنهم,آرنہم,आर्नहेम,არნემი,アーネム,阿纳姆,아른험",141674.0,Gelderland,Arnhem,860.68,51.98,5.91111,98.91774603560188
8,"Breda,Breda khot,Brehda,Brenta,Brigita,Bréda,GLZ,be rda,beuleda,brda,brdh,breda,bryda,bu lei da,bureda,Μπρέντα,Бреда,Бреда хот,Брэда,Բրեդա,ברדה,بردا,بريدا,بریڈا,เบรดา,ბრედა,ブレダ,布雷达,브레다",167673.0,Noord-Brabant,Breda,909.8,51.58656,4.77596,41.31088244547611
9,"Bjussjum,Bussum,Busum,bu sen,bwswm,Бюссюм,Բուսում,بوسوم,布森",31334.0,Noord-Holland,Bussum,891.31,52.27333,5.16111,62.20007935137898
10,"Delft,Ntelpht,dai er fu te,derufuto shi,dlpt,Ντελφτ,Делфт,דלפט,デルフト市,代尔夫特",95060.0,Zuid-Holland,Delft,788.75,52.00667,4.35556,13.672451762149311
11,"'s-Gravenhage,A Haia,An Haig,An Háig,Chage,D'n Haog,De Haach,Den Haag,Gaaga,HAG,Haag,Hag,Haga,Hago,Hague,Hága,Hāga,Khag,Khaga,L'Aia,La Haia,La Haya,La Haye,Lahey,The Hague,den・hagu,haaga,hai ya,heigeu,lahay,lahh,Χάγη,Гаага,Хаг,Хага,האג,لاهاي,لاهه,ჰააგა,デン・ハーグ,海牙,헤이그",474292.0,Zuid-Holland,Den Haag,811.315,52.08122715658232,4.296690095425494,22.80231880974768
12,"Doardt,Dordracum,Dordrech,Dordrecht,Dordrechtas,Dordrehta,Dordrehto,Dordreque,Dordreĥto,Dordt,Dort,Ntorntrecht,dorutorehito,Ντόρντρεχτ,ドルトレヒト",119260.0,Zuid-Holland,Dordrecht,835.52,51.81,4.67361,17.519272039230568
13,"Aintchofen,Ajndkhoven,Ajntoven,Ajntovën,EIN,Ehjndkhoven,Ehjndkhoven khot,Eindhove,Eindhoven,Eindhovena,Eindhovenas,Eindhoveno,Eindovia,Ejndgoven,Eyndhoven,a'indahovana,ai yin huo wen,aintohofen,ayndhwfn,ayndhwwn,eindhoveni,einteuhobeon,xind ho wen,yan hao fen,Αϊντχόφεν,Айндховен,Ајндховен,Ейндговен,Эйндховен,Эйндховен хот,Էյնդհովեն,איינדהובן,آئنڈھون,آيندهوفن,آیندهوون,اینتہوون,आइंडहोवन,ไอนด์โฮเวน,ეინდჰოვენი,アイントホーフェン,埃因霍温,燕豪芬,에인트호번",209620.0,Noord-Brabant,Eindhoven,877.84,51.44083,5.47778,86.55096280000495
14,"Chaounta,Gauda,Gaudanum,Gouda,Guda,Quda,ga'uda,gauda,ghwda,ghwdt,goda,hao da,hauda,kea da,khawda,Χάουντα,Гауда,Գաուդա,خاودا,غودا,غودة,गउडा,గౌడ,เกาดา,გაუდა,ゴーダ,豪达,하우다",71952.0,Zuid-Holland,Gouda,771.8,52.01667,4.70833,20.214061788899325
15,"Chaarlem,Garlem,Haarlem,Haarlemo,Haarlim,Harlem,Harlema,Harlemas,Harlemum,Hārlema,Khaarlem,Kharlem,ha lei mu,haarlemi,haleulleom,harlm,haruremu,Χάαρλεμ,Гарлем,Хаарлем,Харлем,Հարլեմ,הארלם,هارلم,ہارلم,ܗܐܪܠܡ,ჰაარლემი,ハールレム,哈勒姆,하를럼",147590.0,Noord-Holland,Haarlem,916.87,52.38084,4.63683,53.84424616117028
16,"Hilfertsom,Hilversum,Hilvertsheim,Khilversjum,Khilversum,QYI,hylfrswm,xi er fu se mu,Хилверсум,Хилверсюм,Հիլվերսում,هيلفرسوم,هیلفرسوم,希爾弗瑟姆",83640.0,Noord-Holland,Hilversum,921.53,52.22333,5.17639,59.57276077789162
17,"Hoofddorp,QHZ",132734.0,Noord-Holland,Hoofddorp,911.52,52.3025,4.68889,46.36828100961362
18,Huizen,45292.0,Noord-Holland,Huizen,965.51,52.29917,5.24167,68.24493131476468
19,"Lajden,Leida,Leiden,Leidenas,Leidene,Leie,Leien,Leinten,Lejda,Lejdehn,Lejden,Lejdeni,Leyde,Leyden,Lugdunum,Lugdunum Batavorum,Lèida,la'idena,lai dun,laitan,laydn,laydyn,leideni,leideon,li dein,lydn,lyydn,raiden,Λέιντεν,Лайден,Лајден,Лейден,Лейдэн,Լեյդեն,ליידן,لائڈن,لايدن,لايدين,لیدن,লাইডেন,லைடன்,ไลเดิน,ლეიდენი,ライデン,莱顿,레이던",119713.0,Zuid-Holland,Leiden,868.5,52.15833,4.49306,27.96059163780807
20,"Oegstgeest,Oestgeest",21149.0,Zuid-Holland,Oegstgeest,874.08,52.18,4.46944,30.336744429555075
21,None,47299.0,Zuid-Holland,Rijswijk,847.98,52.03634,4.32501,17.571811414433245
22,Rijswijk (NB),1862.0,Noord-Brabant,Rijswijk,847.98,51.7975,5.025,39.83893582525491
23,"RTM,Ratehrdam,Roterdam,Roterdama,Roterdamas,Roterdami,Roterdamo,Roterdan,Roterdao,Roterdão,Roterntam,Roterodamum,Rotterdam,Rottérdam,Róterdam,Róterdan,loteleudam,lu te dan,rattartem,rotaradema,rotterudamu,rtrdam,rwtrdam,rwtrdm,rxt the xr dam,Ρότερνταμ,Ратэрдам,Ротердам,Роттердам,ראטערדאם,רוטרדם,راٹرڈیم,رتردام,روتردام,ܪܘܛܪܕܐܡ,रॉटरडॅम,ராட்டர்டேம்,รอตเทอร์ดาม,ရော်တာဒမ်မြို့,როტერდამი,ロッテルダム,鹿特丹,로테르담",598199.0,Zuid-Holland,Rotterdam,857.05,51.9225,4.47917,1.75806399572343
24,"Schidamas,Schiedam,Skhidam,Skiedam,Sxidam,askhydam,si xi dan,ski dam,Схидам,Շխիդամ,اسخیدام,สกีดาม,斯希丹",75438.0,Zuid-Holland,Schiedam,857.05,51.91917,4.38889,5.908808558961115
25,"Gemeente Utrecht,Magaalada Utrecht,Outrechte,Owtrext,Traiectum ad Rhenum,UTC,Utert,Utrech,Utrecht,Utrechtas,Utrehkht,Utreht,Utrehta,Utrehto,Utrei,Utrekht,Utrekht khot,Utreque,Utrext,Utreĥto,awtrkht,utrekhta,witeuleheuteu,wu de lei zhi,yu the rkt,yutorehito,ywtrkht,ywtrykht,Ουτρέχτη,Утрехт,Утрехт хот,Утрэхт,Ուտրեխտ,אוטרכט,أوترخت,اوترخت,یوترخت,یوتریخت,ܐܘܛܪܝܟܛ,उट्रेख्त,ยูเทรกต์,ယူးထရက်မြို့,უტრეხტი,ユトレヒト,乌得勒支,烏德勒支,위트레흐트",290529.0,Utrecht,Utrecht,912.4,52.09083,5.12222,48.92354264234735
26,"Voorburg,fwrbwrkh,Воорбург,فوربورخ",38000.0,Zuid-Holland,Voorburg,941.47,52.07417,4.35972,20.118216183248123
27,"Zaandam,Zandam,Zandamas,jandam,zan dan,zan dm,zandamu,Заандам,Зандам,Զանդամ,زان دم,ザーンダム,赞丹,잔담",71708.0,Noord-Holland,Zaandam,904.67,52.43854,4.82643,63.81550140327639
28,"Seist,Zajst,Zeist,Zejst,Zeyst,jeiseuteu,zai si te,zaisuto,zayst,Зајст,Зейст,Զեյստ,زايست,زایست,ザイスト,宰斯特,제이스트",60949.0,Utrecht,Zeist,807.38,52.09,5.23333,55.892738119493146
29,"Zeutermaer,Zoetermeer,zwtrmyyr,זוטרמייר",115845.0,Zuid-Holland,Zoetermeer,839.29,52.0575,4.49306,16.771894449700824
